Locus	Allele	Length	Contig	Start position	End position	Flags
LEPT01188	39	450	NZ_CP043876.1	3087802	3088251	
LEPT01190	62	942	NZ_CP043876.1	3086357	3087298	
LEPT01192	76	1572	NZ_CP043876.1	3082656	3084227	
LEPT01195	12	351	NZ_CP043876.1	3080271	3080621	
LEPT01197	72	1383	NZ_CP043876.1	3078914	3080296	
LEPT01198	78	774	NZ_CP043876.1	3078133	3078906	
LEPT01202	4	606	NZ_CP043876.1	3076505	3077110	
LEPT01203	80	1455	NZ_CP043876.1	3074874	3076328	
LEPT01205	13	621	NZ_CP043876.1	3073698	3074318	
LEPT01206	1	564	NZ_CP043876.1	3073130	3073693	
LEPT01210	13	564	NZ_CP043876.1	3069166	3069729	
LEPT01211	4	720	NZ_CP043876.1	3069805	3070524	
LEPT01212	1	435	NZ_CP043876.1	3068731	3069165	
LEPT01213	44	831	NZ_CP043876.1	3067742	3068572	
LEPT01219	1	819	NZ_CP043876.1	3061316	3062134	
LEPT01220	1	957	NZ_CP043876.1	3060253	3061209	
LEPT01221	89	2439	NZ_CP043876.1	3057818	3060256	
LEPT01222	64	1260	NZ_CP043876.1	3056471	3057730	
LEPT01223	81	1404	NZ_CP043876.1	3055054	3056457	
LEPT01224	65	2763	NZ_CP043876.1	3052268	3055030	
LEPT01240	77	1917	NZ_CP043876.1	3038798	3040714	
LEPT01242	1	540	NZ_CP043876.1	3037301	3037840	
LEPT01243	1	204	NZ_CP043876.1	3037065	3037268	
LEPT01244	1	354	NZ_CP043876.1	3036712	3037065	
LEPT01247	29	531	NZ_CP043876.1	3035101	3035631	
LEPT01250	35	495	NZ_CP043876.1	3033998	3034492	
LEPT01251	81	3213	NZ_CP043876.1	3030786	3033998	
LEPT01252	1	1074	NZ_CP043876.1	3029707	3030780	
LEPT01253	1	363	NZ_CP043876.1	3029343	3029705	
LEPT01254	1	786	NZ_CP043876.1	3028540	3029325	
LEPT01255	41	564	NZ_CP043876.1	3028010	3028573	
LEPT01256	13	1092	NZ_CP043876.1	3026926	3028017	
LEPT01257	14	918	NZ_CP043876.1	3026012	3026929	
LEPT01258	78	1323	NZ_CP043876.1	3024709	3026031	
LEPT01259	44	690	NZ_CP043876.1	3024027	3024716	
LEPT01260	63	1683	NZ_CP043876.1	3022292	3023974	
LEPT01263	1	201	NZ_CP043876.1	3020396	3020596	
LEPT01264	14	1008	NZ_CP043876.1	3019383	3020390	
LEPT01273	12	474	NZ_CP043876.1	3015195	3015668	
LEPT01276	25	1914	NZ_CP043876.1	3012656	3014569	
LEPT01280	77	1989	NZ_CP043876.1	3009178	3011166	
LEPT01284	1	1239	NZ_CP043876.1	3005718	3006956	
LEPT01293	53	1101	NZ_CP043876.1	2999022	3000122	
LEPT01295	82	3033	NZ_CP043876.1	2994774	2997806	
LEPT01303	82	1470	NZ_CP043876.1	2988280	2989749	
LEPT01304	59	651	NZ_CP043876.1	2987633	2988283	
LEPT01305	60	801	NZ_CP043876.1	2986858	2987658	
LEPT01307	83	1830	NZ_CP043876.1	2983077	2984906	
LEPT01309	86	2775	NZ_CP043876.1	2980212	2982986	
LEPT01313	76	1422	NZ_CP043876.1	2975511	2976932	
LEPT01319	44	714	NZ_CP043876.1	2973122	2973835	
LEPT01321	16	1362	NZ_CP043876.1	2970640	2972001	
LEPT01323	82	2238	NZ_CP043876.1	2967046	2969283	
LEPT01325	87	2745	NZ_CP043876.1	2963625	2966369	
LEPT01326	61	741	NZ_CP043876.1	2962520	2963260	
LEPT01328	80	1839	NZ_CP043876.1	2960204	2962042	
LEPT01334	2	1170	NZ_CP043876.1	2953386	2954555	
LEPT01335	81	1713	NZ_CP043876.1	2951662	2953374	
LEPT01336	1	549	NZ_CP043876.1	2951117	2951665	
LEPT01338	1	1068	NZ_CP043876.1	2949525	2950592	
LEPT01339	48	921	NZ_CP043876.1	2947875	2948795	
LEPT01340	34	813	NZ_CP043876.1	2946745	2947557	
LEPT01350	59	864	NZ_CP043876.1	2939159	2940022	
LEPT01351	60	1029	NZ_CP043876.1	2938044	2939072	
LEPT01356	80	2112	NZ_CP043876.1	2933400	2935511	
LEPT01357	76	1164	NZ_CP043876.1	2932235	2933398	
LEPT01363	71	1176	NZ_CP043876.1	2927167	2928342	
LEPT01364	14	372	NZ_CP043876.1	2926789	2927160	
LEPT01365	77	1533	NZ_CP043876.1	2925221	2926753	
LEPT01366	66	1206	NZ_CP043876.1	2924038	2925243	
LEPT01378	67	1821	NZ_CP043876.1	2911049	2912869	
LEPT01384	66	921	NZ_CP043876.1	2905250	2906170	
LEPT01388	74	1395	NZ_CP043876.1	2902285	2903679	
LEPT01389	82	1422	NZ_CP043876.1	2900496	2901917	
LEPT01390	44	753	NZ_CP043876.1	2899747	2900499	
LEPT01391	14	903	NZ_CP043876.1	2898848	2899750	
LEPT01392	63	987	NZ_CP043876.1	2897857	2898843	
LEPT01397	61	2955	NZ_CP043876.1	2892198	2895152	
LEPT01406	56	1329	NZ_CP043876.1	2878731	2880059	
LEPT01409	75	1248	NZ_CP043876.1	2876739	2877986	
LEPT01410	1	987	NZ_CP043876.1	2875713	2876699	
LEPT01412	64	1005	NZ_CP043876.1	2874114	2875118	
LEPT01413	63	1083	NZ_CP043876.1	2872901	2873983	
LEPT01417	3	459	NZ_CP043876.1	2870532	2870990	
LEPT01419	61	1461	NZ_CP043876.1	2868157	2869617	
LEPT01421	1	555	NZ_CP043876.1	2867200	2867754	
LEPT01423	66	969	NZ_CP043876.1	2860827	2861795	
LEPT01424	82	1692	NZ_CP043876.1	2859102	2860793	
LEPT01437	1	897	NZ_CP043876.1	2845957	2846853	
LEPT01438	5	666	NZ_CP043876.1	2845295	2845960	
LEPT01439	42	525	NZ_CP043876.1	2844774	2845298	
LEPT01440	76	1560	NZ_CP043876.1	2843100	2844659	
LEPT01443	40	609	NZ_CP043876.1	2839871	2840479	
LEPT01445	59	1143	NZ_CP043876.1	2838435	2839577	
LEPT01447	1	612	NZ_CP043876.1	2836572	2837183	
LEPT01449	1	1389	NZ_CP043876.1	2834865	2836253	
LEPT01450	3	1017	NZ_CP043876.1	2833844	2834860	
LEPT01451	13	765	NZ_CP043876.1	2833083	2833847	
LEPT01455	1	225	NZ_CP043876.1	2829452	2829676	
LEPT01456	15	699	NZ_CP043876.1	2828757	2829455	
LEPT01457	41	756	NZ_CP043876.1	2828008	2828763	
LEPT01458	69	1299	NZ_CP043876.1	2826713	2828011	
LEPT01459	64	1311	NZ_CP043876.1	2825354	2826664	
LEPT01462	60	1086	NZ_CP043876.1	2822745	2823830	
LEPT01463	13	489	NZ_CP043876.1	2822215	2822703	
LEPT01466	66	1680	NZ_CP043876.1	2818851	2820530	
LEPT01470	54	1185	NZ_CP043876.1	2814868	2816052	
LEPT01471	81	2088	NZ_CP043876.1	2812707	2814794	
LEPT01476	48	618	NZ_CP043876.1	2807570	2808187	
LEPT01477	67	1257	NZ_CP043876.1	2808194	2809450	
LEPT01478	44	750	NZ_CP043876.1	2806849	2807598	
LEPT01483	65	1059	NZ_CP043876.1	2802733	2803791	
LEPT01484	1	231	NZ_CP043876.1	2801362	2801592	
LEPT01487	74	1128	NZ_CP043876.1	2799312	2800439	
LEPT01488	71	2283	NZ_CP043876.1	2797013	2799295	
LEPT01489	2	1074	NZ_CP043876.1	2795859	2796932	
LEPT01492	66	834	NZ_CP043876.1	2793350	2794183	
LEPT01495	13	996	NZ_CP043876.1	2791004	2791999	
LEPT01501	13	1263	NZ_CP043876.1	2781836	2783098	
LEPT01507	72	1539	NZ_CP043876.1	2776664	2778202	
LEPT01510	80	1374	NZ_CP043876.1	2773837	2775210	
LEPT01511	75	1599	NZ_CP043876.1	2771650	2773248	
LEPT01512	17	1020	NZ_CP043876.1	2768864	2769883	
LEPT01513	78	1818	NZ_CP043876.1	2769831	2771648	
LEPT01514	66	753	NZ_CP043876.1	2768140	2768892	
LEPT01516	54	879	NZ_CP043876.1	2766395	2767273	
LEPT01517	1	258	NZ_CP043876.1	2766121	2766378	
LEPT01518	58	1062	NZ_CP043876.1	2764188	2765249	
LEPT01520	1	738	NZ_CP043876.1	2763226	2763963	
LEPT01522	71	1968	NZ_CP043876.1	2760796	2762763	
LEPT01526	2	441	NZ_CP043876.1	2759453	2759893	
LEPT01528	74	1455	NZ_CP043876.1	2757615	2759069	
LEPT01532	14	1056	NZ_CP043876.1	2754395	2755450	
LEPT01533	76	1575	NZ_CP043876.1	2751923	2753497	
LEPT01543	88	3297	NZ_CP043876.1	2741017	2744313	
LEPT01548	69	2214	NZ_CP043876.1	2736093	2738306	
LEPT01553	85	2022	NZ_CP043876.1	2730918	2732939	
LEPT01554	49	315	NZ_CP043876.1	2730563	2730877	
LEPT01555	14	828	NZ_CP043876.1	2729545	2730372	
LEPT01577	36	945	NZ_CP043876.1	2715387	2716331	
LEPT01643	37	1035	NZ_CP043876.1	2645512	2646546	
LEPT01645	43	1131	NZ_CP043876.1	2643271	2644401	
LEPT01646	1	1188	NZ_CP043876.1	2642074	2643261	
LEPT01647	3	1266	NZ_CP043876.1	2640805	2642070	
LEPT01649	55	1245	NZ_CP043876.1	2637820	2639064	
LEPT01650	55	942	NZ_CP043876.1	2636875	2637816	
LEPT01652	44	894	NZ_CP043876.1	2635282	2636175	
LEPT01653	2	1023	NZ_CP043876.1	2633619	2634641	
LEPT01654	1	420	NZ_CP043876.1	2633050	2633469	
LEPT01655	55	1092	NZ_CP043876.1	2631945	2633036	
LEPT01656	8	798	NZ_CP043876.1	2631005	2631802	
LEPT01657	3	822	NZ_CP043876.1	2629667	2630488	
LEPT01658	29	1749	NZ_CP043876.1	2627204	2628952	
LEPT01659	39	561	NZ_CP043876.1	2626448	2627008	
LEPT01660	72	921	NZ_CP043876.1	2625524	2626444	
LEPT01661	65	1050	NZ_CP043876.1	2624478	2625527	
LEPT01662	55	885	NZ_CP043876.1	2623593	2624477	
LEPT01663	17	975	NZ_CP043876.1	2621637	2622611	
LEPT01664	1	912	NZ_CP043876.1	2620721	2621632	
LEPT01666	57	849	NZ_CP043876.1	2619224	2620072	
LEPT01667	58	1395	NZ_CP043876.1	2617789	2619183	
LEPT01674	61	981	NZ_CP043876.1	2612105	2613085	
LEPT01675	1	276	NZ_CP043876.1	2611765	2612040	
LEPT01676	12	453	NZ_CP043876.1	2611320	2611772	
LEPT01677	11	312	NZ_CP043876.1	2610997	2611308	
LEPT01678	1	450	NZ_CP043876.1	2610538	2610987	
LEPT01679	64	1329	NZ_CP043876.1	2609192	2610520	
LEPT01680	78	1806	NZ_CP043876.1	2607354	2609159	
LEPT01683	75	2415	NZ_CP043876.1	2603944	2606358	
LEPT01688	71	1761	NZ_CP043876.1	2600198	2601958	
LEPT01690	66	1080	NZ_CP043876.1	2597866	2598945	
LEPT01692	75	993	NZ_CP043876.1	2594603	2595595	
LEPT01693	12	912	NZ_CP043876.1	2593692	2594603	
LEPT01695	1	336	NZ_CP043876.1	2592404	2592739	
LEPT01703	1	1191	NZ_CP043876.1	2586116	2587306	
LEPT01704	55	1008	NZ_CP043876.1	2585105	2586112	
LEPT01710	58	756	NZ_CP043876.1	2582162	2582917	
LEPT01712	39	561	NZ_CP043876.1	2580736	2581296	
LEPT01713	1	543	NZ_CP043876.1	2580084	2580626	
LEPT01715	76	1074	NZ_CP043876.1	2578727	2579800	
LEPT01719	45	930	NZ_CP043876.1	2577029	2577958	
LEPT01721	60	1842	NZ_CP043876.1	2573645	2575486	
LEPT01724	53	801	NZ_CP043876.1	2571538	2572338	
LEPT01726	55	1482	NZ_CP043876.1	2570048	2571529	
LEPT01727	13	237	NZ_CP043876.1	2569430	2569666	
LEPT01728	50	849	NZ_CP043876.1	2568111	2568959	
LEPT01729	27	336	NZ_CP043876.1	2567686	2568021	
LEPT01730	1	534	NZ_CP043876.1	2567126	2567659	
LEPT01731	2	651	NZ_CP043876.1	2566463	2567113	
LEPT01735	1	1596	NZ_CP043876.1	2562051	2563646	
LEPT01740	59	999	NZ_CP043876.1	2554884	2555882	
LEPT01741	53	750	NZ_CP043876.1	2554138	2554887	
LEPT01857	13	438	NZ_CP043876.1	2510658	2511095	
LEPT01859	68	1446	NZ_CP043876.1	2508179	2509624	
LEPT01861	72	1131	NZ_CP043876.1	2504158	2505288	
LEPT01863	68	1416	NZ_CP043876.1	2501199	2502614	
LEPT01864	18	966	NZ_CP043876.1	2500237	2501202	
LEPT01865	59	855	NZ_CP043876.1	2499367	2500221	
LEPT01866	72	1308	NZ_CP043876.1	2497978	2499285	
LEPT01867	45	792	NZ_CP043876.1	2496787	2497578	
LEPT01875	75	1977	NZ_CP043876.1	2488897	2490873	
LEPT01877	72	1593	NZ_CP043876.1	2487186	2488778	
LEPT01879	75	2583	NZ_CP043876.1	2484197	2486779	
LEPT01880	1	408	NZ_CP043876.1	2483643	2484050	
LEPT01883	1	1518	NZ_CP043876.1	2479790	2481307	
LEPT01884	1	354	NZ_CP043876.1	2479418	2479771	
LEPT01888	1	1803	NZ_CP043876.1	2475705	2477507	
LEPT01896	50	732	NZ_CP043876.1	2469642	2470373	
LEPT01897	79	1914	NZ_CP043876.1	2467729	2469642	
LEPT01898	1	681	NZ_CP043876.1	2467030	2467710	
LEPT01911	78	1224	NZ_CP043876.1	2457483	2458706	
LEPT01915	83	3600	NZ_CP043876.1	2452592	2456191	
LEPT01916	45	909	NZ_CP043876.1	2451530	2452438	
LEPT01917	14	738	NZ_CP043876.1	2450746	2451483	
LEPT01920	1	276	NZ_CP043876.1	2446751	2447026	
LEPT01924	1	1095	NZ_CP043876.1	2442991	2444085	
LEPT01925	2	708	NZ_CP043876.1	2442282	2442989	
LEPT01926	4	258	NZ_CP043876.1	2441935	2442192	
LEPT01927	1	810	NZ_CP043876.1	2440722	2441531	
LEPT01928	1	315	NZ_CP043876.1	2440357	2440671	
LEPT01929	64	2160	NZ_CP043876.1	2438175	2440334	
LEPT01930	59	1131	NZ_CP043876.1	2437027	2438157	
LEPT01931	67	1176	NZ_CP043876.1	2435809	2436984	
LEPT01934	13	342	NZ_CP043876.1	2432650	2432991	
LEPT01935	1	573	NZ_CP043876.1	2431974	2432546	
LEPT01936	80	1872	NZ_CP043876.1	2430043	2431914	
LEPT01947	75	1209	NZ_CP043876.1	2420072	2421280	
LEPT01948	1	489	NZ_CP043876.1	2419567	2420055	
LEPT01950	1	492	NZ_CP043876.1	2417629	2418120	
LEPT01951	70	1299	NZ_CP043876.1	2415592	2416890	
LEPT01953	1	594	NZ_CP043876.1	2414225	2414818	
LEPT01955	70	1011	NZ_CP043876.1	2412821	2413831	
LEPT01957	1	576	NZ_CP043876.1	2411703	2412278	
LEPT01959	1	750	NZ_CP043876.1	2410122	2410871	
LEPT01960	65	2727	NZ_CP043876.1	2407285	2410011	
LEPT01962	1	378	NZ_CP043876.1	2406346	2406723	
LEPT01963	70	1407	NZ_CP043876.1	2404792	2406198	
LEPT01968	76	1653	NZ_CP043876.1	2393675	2395327	
LEPT01975	1	741	NZ_CP043876.1	2387556	2388296	
LEPT01977	63	1503	NZ_CP043876.1	2386035	2387537	
LEPT01978	76	1482	NZ_CP043876.1	2384553	2386034	
LEPT01982	80	1986	NZ_CP043876.1	2377935	2379920	
LEPT01984	13	1623	NZ_CP043876.1	2376202	2377824	
LEPT01985	52	1170	NZ_CP043876.1	2372370	2373539	
LEPT01986	64	1527	NZ_CP043876.1	2370773	2372299	
LEPT01987	4	783	NZ_CP043876.1	2369990	2370772	
LEPT01995	16	1488	NZ_CP043876.1	2364402	2365889	
LEPT01996	14	651	NZ_CP043876.1	2363743	2364393	
LEPT01997	79	2181	NZ_CP043876.1	2361513	2363693	
LEPT02001	1	675	NZ_CP043876.1	2358362	2359036	
LEPT02007	65	1020	NZ_CP043876.1	2352544	2353563	
LEPT02008	73	1377	NZ_CP043876.1	2351162	2352538	
LEPT02009	69	975	NZ_CP043876.1	2350166	2351140	
LEPT02017	35	846	NZ_CP043876.1	2341660	2342505	
LEPT02019	54	852	NZ_CP043876.1	2340353	2341204	
LEPT02024	56	1239	NZ_CP043876.1	2334833	2336071	
LEPT02025	65	1263	NZ_CP043876.1	2333505	2334767	
LEPT02027	1	852	NZ_CP043876.1	2332026	2332877	
LEPT02030	51	843	NZ_CP043876.1	2329896	2330738	
LEPT02041	1	255	NZ_CP043876.1	2321821	2322075	
LEPT02042	73	873	NZ_CP043876.1	2320751	2321623	
LEPT02044	1	522	NZ_CP043876.1	2319747	2320268	
LEPT02046	2	363	NZ_CP043876.1	2318084	2318446	
LEPT02048	58	1026	NZ_CP043876.1	2315432	2316457	
LEPT02049	15	1155	NZ_CP043876.1	2314281	2315435	
LEPT02050	60	1077	NZ_CP043876.1	2313208	2314284	
LEPT02054	53	849	NZ_CP043876.1	2309083	2309931	
LEPT02056	62	768	NZ_CP043876.1	2307389	2308156	
LEPT02057	1	780	NZ_CP043876.1	2306606	2307385	
LEPT02058	13	1056	NZ_CP043876.1	2304144	2305199	
LEPT02060	13	618	NZ_CP043876.1	2303522	2304139	
LEPT02061	62	1101	NZ_CP043876.1	2302418	2303518	
LEPT02063	87	1644	NZ_CP043876.1	2298912	2300555	
LEPT02066	1	831	NZ_CP043876.1	2296852	2297682	
LEPT02068	18	1287	NZ_CP043876.1	2295438	2296724	
LEPT02071	60	933	NZ_CP043876.1	2293398	2294330	
LEPT02072	1	948	NZ_CP043876.1	2292449	2293396	
LEPT02076	78	1413	NZ_CP043876.1	2289961	2291373	
LEPT02078	14	624	NZ_CP043876.1	2288469	2289092	
LEPT02080	14	978	NZ_CP043876.1	2286917	2287894	
LEPT02081	59	1026	NZ_CP043876.1	2285895	2286920	
LEPT02083	61	930	NZ_CP043876.1	2284057	2284986	
LEPT02087	1	1812	NZ_CP043876.1	2281066	2282877	
LEPT02091	1	777	NZ_CP043876.1	2274635	2275411	
LEPT02092	1	588	NZ_CP043876.1	2274046	2274633	
LEPT02094	54	1437	NZ_CP043876.1	2271814	2273250	
LEPT02095	54	1398	NZ_CP043876.1	2270259	2271656	
LEPT02096	63	621	NZ_CP043876.1	2269619	2270239	
LEPT02097	60	1002	NZ_CP043876.1	2268602	2269603	
LEPT02098	71	1905	NZ_CP043876.1	2266701	2268605	
LEPT02100	40	393	NZ_CP043876.1	2265490	2265882	
LEPT02101	1	555	NZ_CP043876.1	2264539	2265093	
LEPT02103	12	336	NZ_CP043876.1	2262953	2263288	
LEPT02104	80	2241	NZ_CP043876.1	2260716	2262956	
LEPT02105	84	1734	NZ_CP043876.1	2258969	2260702	
LEPT02106	74	1563	NZ_CP043876.1	2257410	2258972	
LEPT02107	50	1032	NZ_CP043876.1	2256391	2257422	
LEPT02110	1	228	NZ_CP043876.1	2255608	2255835	
LEPT02113	60	774	NZ_CP043876.1	2252889	2253662	
LEPT02114	65	918	NZ_CP043876.1	2251975	2252892	
LEPT02115	74	1383	NZ_CP043876.1	2250574	2251956	
LEPT02118	53	957	NZ_CP043876.1	2248168	2249124	
LEPT02119	15	1491	NZ_CP043876.1	2246608	2248098	
LEPT02122	15	981	NZ_CP043876.1	2243909	2244889	
LEPT02123	13	615	NZ_CP043876.1	2243298	2243912	
LEPT02124	1	1422	NZ_CP043876.1	2241680	2243101	
LEPT02129	79	1710	NZ_CP043876.1	2236887	2238596	
LEPT02130	74	1215	NZ_CP043876.1	2235621	2236835	
LEPT02131	51	924	NZ_CP043876.1	2234691	2235614	
LEPT02133	57	1476	NZ_CP043876.1	2232438	2233913	
LEPT02134	52	963	NZ_CP043876.1	2231188	2232150	
LEPT02136	41	642	NZ_CP043876.1	2230070	2230711	
LEPT02139	48	981	NZ_CP043876.1	2227444	2228424	
LEPT02140	73	1131	NZ_CP043876.1	2226296	2227426	
LEPT02142	52	1302	NZ_CP043876.1	2224333	2225634	
LEPT02143	49	1056	NZ_CP043876.1	2223237	2224292	
LEPT02146	85	2547	NZ_CP043876.1	2218516	2221062	
LEPT02151	23	408	NZ_CP043876.1	2215995	2216402	
LEPT02152	1	1077	NZ_CP043876.1	2214902	2215978	
LEPT02153	80	1221	NZ_CP043876.1	2213665	2214885	
LEPT02156	16	1107	NZ_CP043876.1	2210331	2211437	
LEPT02162	1	285	NZ_CP043876.1	2206850	2207134	
LEPT02163	61	699	NZ_CP043876.1	2206204	2206902	
LEPT02164	14	423	NZ_CP043876.1	2205775	2206197	
LEPT02166	80	1830	NZ_CP043876.1	2202946	2204775	
LEPT02170	72	1782	NZ_CP043876.1	2196695	2198476	
LEPT02171	3	1320	NZ_CP043876.1	2195236	2196555	
LEPT02172	68	1311	NZ_CP043876.1	2193806	2195116	
LEPT02173	72	1062	NZ_CP043876.1	2192308	2193369	
LEPT02174	57	597	NZ_CP043876.1	2191715	2192311	
LEPT02175	1	1773	NZ_CP043876.1	2189815	2191587	
LEPT02177	81	1938	NZ_CP043876.1	2187261	2189198	
LEPT02179	5	1101	NZ_CP043876.1	2184888	2185988	
LEPT02180	58	804	NZ_CP043876.1	2183863	2184666	
LEPT02182	1	390	NZ_CP043876.1	2182301	2182690	
LEPT02184	72	1386	NZ_CP043876.1	2180452	2181837	
LEPT02185	75	1335	NZ_CP043876.1	2179121	2180455	
LEPT02186	91	5484	NZ_CP043876.1	2173243	2178726	
LEPT02187	80	1728	NZ_CP043876.1	2170950	2172677	
LEPT02188	18	798	NZ_CP043876.1	2170100	2170897	
LEPT02189	61	1188	NZ_CP043876.1	2168911	2170098	
LEPT02193	68	1998	NZ_CP043876.1	2164622	2166619	
LEPT02194	1	471	NZ_CP043876.1	2164150	2164620	
LEPT02196	12	2370	NZ_CP043876.1	2161085	2163454	
LEPT02197	76	2010	NZ_CP043876.1	2158167	2160176	
LEPT02202	63	1512	NZ_CP043876.1	2154838	2156349	
LEPT02208	77	1608	NZ_CP043876.1	2149430	2151037	
LEPT02211	73	1740	NZ_CP043876.1	2145007	2146746	
LEPT02212	83	2847	NZ_CP043876.1	2142051	2144897	
LEPT02213	1	1050	NZ_CP043876.1	2140985	2142034	
LEPT02215	51	1011	NZ_CP043876.1	2138635	2139645	
LEPT02217	3	1392	NZ_CP043876.1	2137104	2138495	
LEPT02222	74	2499	NZ_CP043876.1	2129856	2132354	
LEPT02223	1	1149	NZ_CP043876.1	2128669	2129817	
LEPT02226	63	1029	NZ_CP043876.1	2126856	2127884	
LEPT02229	13	210	NZ_CP043876.1	2125540	2125749	
LEPT02230	33	447	NZ_CP043876.1	2125034	2125480	
LEPT02231	82	1797	NZ_CP043876.1	2123219	2125015	
LEPT02232	1	1758	NZ_CP043876.1	2121445	2123202	
LEPT02236	78	1653	NZ_CP043876.1	2118486	2120138	
LEPT02237	73	1218	NZ_CP043876.1	2117236	2118453	
LEPT02238	13	1197	NZ_CP043876.1	2115994	2117190	
LEPT02255	67	1071	NZ_CP043876.1	2098166	2099236	
LEPT02256	75	1485	NZ_CP043876.1	2096672	2098156	
LEPT02257	15	828	NZ_CP043876.1	2095265	2096092	
LEPT02259	38	492	NZ_CP043876.1	2094488	2094979	
LEPT02261	68	1653	NZ_CP043876.1	2092164	2093816	
LEPT02262	68	1692	NZ_CP043876.1	2090293	2091984	
LEPT02266	60	795	NZ_CP043876.1	2087221	2088015	
LEPT02267	80	1989	NZ_CP043876.1	2085226	2087214	
LEPT02268	66	1281	NZ_CP043876.1	2083812	2085092	
LEPT02269	69	1125	NZ_CP043876.1	2082713	2083837	
LEPT02274	65	1146	NZ_CP043876.1	2079381	2080526	
LEPT02276	1	555	NZ_CP043876.1	2078046	2078600	
LEPT02280	1	453	NZ_CP043876.1	2076212	2076664	
LEPT02282	14	627	NZ_CP043876.1	2075171	2075797	
LEPT02283	84	1536	NZ_CP043876.1	2073632	2075167	
LEPT02286	47	645	NZ_CP043876.1	2071417	2072061	
LEPT02289	56	1047	NZ_CP043876.1	2068788	2069834	
LEPT02290	52	1419	NZ_CP043876.1	2067356	2068774	
LEPT02291	51	741	NZ_CP043876.1	2066619	2067359	
LEPT02295	14	1167	NZ_CP043876.1	2061383	2062549	
LEPT02297	64	1311	NZ_CP043876.1	2058398	2059708	
LEPT02298	52	1098	NZ_CP043876.1	2056431	2057528	
LEPT02300	45	681	NZ_CP043876.1	2055425	2056105	
LEPT02302	38	666	NZ_CP043876.1	2054057	2054722	
LEPT02307	57	1743	NZ_CP043876.1	2050082	2051824	
LEPT02309	85	2046	NZ_CP043876.1	2047265	2049310	
LEPT02314	65	1164	NZ_CP043876.1	2043801	2044964	
LEPT02315	62	846	NZ_CP043876.1	2042858	2043703	
LEPT02316	1	441	NZ_CP043876.1	2042393	2042833	
LEPT02317	73	2199	NZ_CP043876.1	2040132	2042330	
LEPT02318	90	2709	NZ_CP043876.1	2037420	2040128	
LEPT02319	4	450	NZ_CP043876.1	2036733	2037182	
LEPT02320	1	606	NZ_CP043876.1	2036125	2036730	
LEPT02321	73	1707	NZ_CP043876.1	2034307	2036013	
LEPT02323	4	705	NZ_CP043876.1	2032838	2033542	
LEPT02324	16	771	NZ_CP043876.1	2032078	2032848	
LEPT02325	4	300	NZ_CP043876.1	2031602	2031901	
LEPT02326	70	972	NZ_CP043876.1	2030603	2031574	
LEPT02327	78	1758	NZ_CP043876.1	2028831	2030588	
LEPT02328	1	1128	NZ_CP043876.1	2027707	2028834	
LEPT02329	16	1098	NZ_CP043876.1	2026528	2027625	
LEPT02332	75	912	NZ_CP043876.1	2023568	2024479	
LEPT02336	1	690	NZ_CP043876.1	2020825	2021514	
LEPT02337	1	1044	NZ_CP043876.1	2019735	2020778	
LEPT02338	50	879	NZ_CP043876.1	2018855	2019733	
LEPT02340	44	831	NZ_CP043876.1	2017700	2018530	
LEPT02346	1	543	NZ_CP043876.1	2010123	2010665	
LEPT02347	4	936	NZ_CP043876.1	2009201	2010136	
LEPT02349	1	573	NZ_CP043876.1	2008409	2008981	
LEPT02350	63	1551	NZ_CP043876.1	2006871	2008421	
LEPT02351	1	312	NZ_CP043876.1	2006563	2006874	
LEPT02352	58	1560	NZ_CP043876.1	2004857	2006416	
LEPT02353	37	543	NZ_CP043876.1	2003114	2003656	
LEPT02354	29	642	NZ_CP043876.1	2003711	2004352	
LEPT02355	55	1131	NZ_CP043876.1	2001977	2003107	
LEPT02356	59	1269	NZ_CP043876.1	2000705	2001973	
LEPT02360	93	3606	NZ_CP043876.1	1995840	1999445	
LEPT02367	3	1623	NZ_CP043876.1	1988544	1990166	
LEPT02368	16	1041	NZ_CP043876.1	1987498	1988538	
LEPT02369	1	645	NZ_CP043876.1	1986555	1987199	
LEPT02370	40	537	NZ_CP043876.1	1986009	1986545	
LEPT02371	43	570	NZ_CP043876.1	1985465	1986034	
LEPT02372	5	477	NZ_CP043876.1	1984967	1985443	
LEPT02373	71	1227	NZ_CP043876.1	1983719	1984945	
LEPT02374	75	1674	NZ_CP043876.1	1982040	1983713	
LEPT02375	78	1791	NZ_CP043876.1	1980246	1982036	
LEPT02376	48	909	NZ_CP043876.1	1979333	1980241	
LEPT02377	2	1011	NZ_CP043876.1	1978267	1979277	
LEPT02378	2	375	NZ_CP043876.1	1977924	1978298	
LEPT02379	68	1530	NZ_CP043876.1	1976237	1977766	
LEPT02380	1	198	NZ_CP043876.1	1976020	1976217	
LEPT02381	14	351	NZ_CP043876.1	1975574	1975924	
LEPT02383	63	1185	NZ_CP043876.1	1973674	1974858	
LEPT02385	49	744	NZ_CP043876.1	1972670	1973413	
LEPT02386	13	696	NZ_CP043876.1	1971903	1972598	
LEPT02387	1	417	NZ_CP043876.1	1971480	1971896	
LEPT02388	1	696	NZ_CP043876.1	1970825	1971520	
LEPT02390	1	231	NZ_CP043876.1	1970082	1970312	
LEPT02391	1	267	NZ_CP043876.1	1969816	1970082	
LEPT02395	15	996	NZ_CP043876.1	1967413	1968408	
LEPT02396	55	948	NZ_CP043876.1	1966469	1967416	
